index,period,attendances,breaches
3136,2016-06-01,953,2
3137,2016-06-01,17107,3597
3138,2016-06-01,5766,240
3139,2016-06-01,11931,2508
3140,2016-06-01,14846,123
3141,2016-06-01,8542,97
3142,2016-06-01,4792,34
3143,2016-06-01,13809,3162
3144,2016-06-01,785,0
3145,2016-06-01,809,2
3146,2016-06-01,506,0
3147,2016-06-01,738,0
3148,2016-06-01,18731,2142
3149,2016-06-01,3178,0
3150,2016-06-01,1693,0
3151,2016-06-01,12896,858
3152,2016-06-01,1414,4
3153,2016-06-01,2225,0
3154,2016-06-01,5023,1601
3155,2016-06-01,8378,37
3156,2016-06-01,2929,0
3157,2016-06-01,1040,0
3158,2016-06-01,3184,0
3159,2016-06-01,7908,969
3160,2016-06-01,11479,922
3161,2016-06-01,9233,0
3162,2016-06-01,2215,0
3163,2016-06-01,4682,0
3164,2016-06-01,11187,2169
3165,2016-06-01,6078,490
3166,2016-06-01,414,0
3167,2016-06-01,3247,0
3168,2016-06-01,4656,129
3169,2016-06-01,5459,970
3170,2016-06-01,4583,1
3171,2016-06-01,9132,2570
3172,2016-06-01,3257,11
3173,2016-06-01,6717,1202
3174,2016-06-01,2596,2
3175,2016-06-01,6892,951
3176,2016-06-01,5770,7
3177,2016-06-01,3959,0
3178,2016-06-01,11631,1683
3179,2016-06-01,3808,0
3180,2016-06-01,4801,4
3181,2016-06-01,1590,0
3182,2016-06-01,8682,1996
3183,2016-06-01,4331,0
3184,2016-06-01,596,0
3185,2016-06-01,670,0
3186,2016-06-01,6448,322
3187,2016-06-01,1915,0
3188,2016-06-01,1142,0
3189,2016-06-01,1905,3
3190,2016-06-01,18816,2563
3191,2016-06-01,3669,55
3192,2016-06-01,872,0
3193,2016-06-01,3887,919
3194,2016-06-01,7287,552
3195,2016-06-01,393,0
3196,2016-06-01,6503,514
3197,2016-06-01,7326,705
3198,2016-06-01,434,0
3199,2016-06-01,13324,137
3200,2016-06-01,4013,118
3201,2016-06-01,8486,132
3202,2016-06-01,3425,0
3203,2016-06-01,376,0
3204,2016-06-01,556,0
3205,2016-06-01,454,0
3206,2016-06-01,7622,1885
3207,2016-06-01,442,21
3208,2016-06-01,7326,600
3209,2016-06-01,4534,6
3210,2016-06-01,10653,1184
3211,2016-06-01,1095,0
3212,2016-06-01,4520,0
3213,2016-06-01,8127,1477
3214,2016-06-01,804,0
3215,2016-06-01,8658,512
3216,2016-06-01,968,8
3217,2016-06-01,5182,0
3218,2016-06-01,4845,30
3219,2016-06-01,14657,4744
3220,2016-06-01,1508,9
3221,2016-06-01,233,0
3222,2016-06-01,2693,13
3223,2016-06-01,339,0
3224,2016-06-01,299,0
3225,2016-06-01,2007,0
3226,2016-06-01,14021,1588
3227,2016-06-01,2015,37
3228,2016-06-01,2666,0
3229,2016-06-01,8907,709
3230,2016-06-01,3482,44
3231,2016-06-01,10197,2132
3232,2016-06-01,1929,0
3233,2016-06-01,411,0
3234,2016-06-01,2132,0
3235,2016-06-01,3604,0
3236,2016-06-01,5167,0
3237,2016-06-01,5109,229
3238,2016-06-01,656,0
3239,2016-06-01,8523,1102
3240,2016-06-01,3771,0
3241,2016-06-01,8444,466
3242,2016-06-01,5918,0
3243,2016-06-01,8240,2487
3244,2016-06-01,221,0
3245,2016-06-01,5174,495
3246,2016-06-01,11028,1280
3247,2016-06-01,4229,0
3248,2016-06-01,13704,2579
3249,2016-06-01,9608,1397
3250,2016-06-01,11639,2888
3251,2016-06-01,1943,18
3252,2016-06-01,2380,9
3253,2016-06-01,12094,3613
3254,2016-06-01,1802,85
3255,2016-06-01,5566,73
3256,2016-06-01,15024,4019
3257,2016-06-01,415,0
3258,2016-06-01,4834,50
3259,2016-06-01,5775,1030
3260,2016-06-01,4297,18
3261,2016-06-01,3727,0
3262,2016-06-01,7693,1907
3263,2016-06-01,4169,67
3264,2016-06-01,5578,917
3265,2016-06-01,3886,32
3266,2016-06-01,10212,2447
3267,2016-06-01,5726,0
3268,2016-06-01,637,0
3269,2016-06-01,4542,873
3270,2016-06-01,3129,0
3271,2016-06-01,7032,1701
3272,2016-06-01,6581,0
3273,2016-06-01,4665,273
3274,2016-06-01,4780,200
3275,2016-06-01,7039,314
3276,2016-06-01,7555,1417
3277,2016-06-01,9178,7
3278,2016-06-01,9387,1377
3279,2016-06-01,11165,1047
3280,2016-06-01,1088,0
3281,2016-06-01,8033,20
3282,2016-06-01,12781,630
3283,2016-06-01,3554,5
3284,2016-06-01,12214,1586
3285,2016-06-01,3525,6
3286,2016-06-01,9759,16
3287,2016-06-01,7035,463
3288,2016-06-01,2350,6
3289,2016-06-01,2455,1
3290,2016-06-01,5942,820
3291,2016-06-01,676,11
3292,2016-06-01,10957,1073
3293,2016-06-01,12761,0
3294,2016-06-01,1475,20
3295,2016-06-01,11424,1108
3296,2016-06-01,2937,0
3297,2016-06-01,3982,517
3298,2016-06-01,352,0
3299,2016-06-01,9464,1941
3300,2016-06-01,6073,317
3301,2016-06-01,398,0
3302,2016-06-01,7192,323
3303,2016-06-01,2252,0
3304,2016-06-01,4103,198
3305,2016-06-01,884,0
3306,2016-06-01,11197,1769
3307,2016-06-01,1349,4
3308,2016-06-01,1910,2
3309,2016-06-01,7573,885
3310,2016-06-01,3191,10
3311,2016-06-01,2755,0
3312,2016-06-01,17545,2507
3313,2016-06-01,2114,0
3314,2016-06-01,3378,0
3315,2016-06-01,2148,0
3316,2016-06-01,1020,9
3317,2016-06-01,2848,0
3318,2016-06-01,5380,933
3319,2016-06-01,2067,0
3320,2016-06-01,20267,3029
3321,2016-06-01,7849,705
3322,2016-06-01,6005,541
3323,2016-06-01,1687,1
3324,2016-06-01,1695,0
3325,2016-06-01,5822,32
3326,2016-06-01,11316,843
3327,2016-06-01,1739,3
3328,2016-06-01,14184,741
3329,2016-06-01,2099,4
3330,2016-06-01,22114,3921
3331,2016-06-01,4082,60
3332,2016-06-01,4827,0
3333,2016-06-01,7558,1576
3334,2016-06-01,1933,1
3335,2016-06-01,9831,0
3336,2016-06-01,8413,503
3337,2016-06-01,4658,125
3338,2016-06-01,9146,2400
3339,2016-06-01,1184,0
3340,2016-06-01,7176,0
3341,2016-06-01,10875,815
3342,2016-06-01,5552,0
3343,2016-06-01,5243,391
3344,2016-06-01,768,0
3345,2016-06-01,6225,1020
3346,2016-06-01,5056,4
3347,2016-06-01,8701,2346
3348,2016-06-01,5378,14
3349,2016-06-01,7963,1177
3350,2016-06-01,7182,967
3351,2016-06-01,9860,536
3352,2016-06-01,1736,26
3353,2016-06-01,4012,0
3354,2016-06-01,6538,530
3355,2016-06-01,8153,1908
3356,2016-06-01,7949,767
3357,2016-06-01,1770,43
3358,2016-06-01,6726,658
3359,2016-06-01,3514,6
3360,2016-06-01,5629,33
3361,2016-06-01,8088,1286
3362,2016-06-01,2322,0
3363,2016-06-01,1981,0
3364,2016-06-01,7386,453
3365,2016-06-01,9700,2023
3366,2016-06-01,6391,40
3367,2016-06-01,8212,1025
3368,2016-06-01,1284,0
3369,2016-06-01,3386,0
3370,2016-06-01,3226,0
3371,2016-06-01,5639,0
3372,2016-06-01,12352,2020
3373,2016-06-01,1164,0
3374,2016-06-01,5066,45
3375,2016-06-01,6941,683
3376,2016-06-01,1123,0
3377,2016-06-01,3680,62
3378,2016-06-01,1931,0
3379,2016-06-01,2588,16
3380,2016-06-01,1168,0
3381,2016-06-01,9454,22
3382,2016-06-01,8517,1048
3383,2016-06-01,3864,308
3384,2016-06-01,4051,0
3385,2016-06-01,12832,2535
3386,2016-06-01,5028,74
3387,2016-06-01,9240,1550
3388,2016-06-01,19970,1406
3389,2016-06-01,6174,22
3390,2016-06-01,11343,1467
3391,2016-06-01,6597,934
3392,2016-06-01,5846,17
3393,2016-06-01,9135,1527
3394,2016-06-01,803,0
3395,2016-06-01,786,7
3396,2016-06-01,3574,760
3397,2016-06-01,1639,0
3398,2016-06-01,10364,6
3399,2016-06-01,3913,0
3400,2016-06-01,12056,1269
3401,2016-06-01,2071,0
3402,2016-06-01,9302,1679
3403,2016-06-01,7083,1262
3404,2016-06-01,4242,634
3405,2016-06-01,6594,0
3406,2016-06-01,75,0
3407,2016-06-01,2984,75
3408,2016-06-01,10937,1501
3409,2016-06-01,1743,0
3410,2016-06-01,666,0
3411,2016-06-01,8109,1078
3412,2016-06-01,306,0
3413,2016-06-01,5757,523
3414,2016-06-01,9098,2119
3415,2016-06-01,766,1
3416,2016-06-01,1903,1
3417,2016-06-01,861,6
3418,2016-06-01,8875,476
3419,2016-06-01,1347,1
3420,2016-06-01,5981,1044
3421,2016-06-01,1781,23
3422,2016-06-01,8399,587
3423,2016-06-01,5892,790
3424,2016-06-01,6032,1288
3425,2016-06-01,940,11
3426,2016-06-01,3940,300
3427,2016-06-01,361,10
3428,2016-06-01,2204,0
3429,2016-06-01,7925,86
3430,2016-06-01,4290,3
3431,2016-06-01,2379,20
3432,2016-06-01,3390,3
3433,2016-06-01,7802,282
3434,2016-06-01,8959,83
3435,2016-06-01,5215,327
3436,2016-06-01,280,0
3437,2016-06-01,6350,316
3438,2016-06-01,1534,0
3439,2016-06-01,6350,810
3440,2016-06-01,3322,0
3441,2016-06-01,8228,581
3442,2016-06-01,1675,6
3443,2016-06-01,8821,1173
3444,2016-06-01,1967,15
3445,2016-06-01,11799,515
3446,2016-06-01,1012,1
3447,2016-06-01,4584,545
3448,2016-06-01,2450,17
3449,2016-06-01,2134,0
3450,2016-06-01,3315,7
3451,2016-06-01,1666,5
3452,2016-06-01,3992,454
3453,2016-05-01,20827,4492
3454,2016-05-01,563,0
3455,2016-05-01,2753,7
3456,2016-05-01,29397,5366
3457,2016-05-01,614,14
3458,2016-05-01,11052,69
3459,2016-05-01,4542,2
3460,2016-05-01,19018,23
3461,2016-05-01,16705,929
3462,2016-05-01,7763,105
3463,2016-05-01,6274,697
3464,2016-05-01,4315,55
3465,2016-05-01,1232,0
3466,2016-05-01,2928,0
3467,2016-05-01,12984,889
3468,2016-05-01,417,0
3469,2016-05-01,13263,1815
3470,2016-05-01,748,0
3471,2016-05-01,3085,0
3472,2016-05-01,3753,0
3473,2016-05-01,11052,736
3474,2016-05-01,4849,9
3475,2016-05-01,9758,2224
3476,2016-05-01,3946,34
3477,2016-05-01,11194,252
3478,2016-05-01,17656,3515
3479,2016-05-01,2286,20
3480,2016-05-01,5626,284
3481,2016-05-01,9241,794
3482,2016-05-01,917,9
3483,2016-05-01,18202,3064
3484,2016-05-01,5688,209
3485,2016-05-01,12786,3145
3486,2016-05-01,15782,278
3487,2016-05-01,8908,243
3488,2016-05-01,5255,49
3489,2016-05-01,14979,4059
3490,2016-05-01,739,0
3491,2016-05-01,856,4
3492,2016-05-01,527,0
3493,2016-05-01,719,0
3494,2016-05-01,19574,1733
3495,2016-05-01,3383,0
3496,2016-05-01,1906,0
3497,2016-05-01,13504,960
3498,2016-05-01,1563,2
3499,2016-05-01,2689,0
3500,2016-05-01,5268,1992
3501,2016-05-01,9003,74
3502,2016-05-01,3059,0
3503,2016-05-01,1031,0
3504,2016-05-01,3250,0
3505,2016-05-01,8540,1205
3506,2016-05-01,12155,1419
3507,2016-05-01,10093,0
3508,2016-05-01,2431,0
3509,2016-05-01,5396,0
3510,2016-05-01,11812,2089
3511,2016-05-01,6508,475
3512,2016-05-01,457,0
3513,2016-05-01,3323,0
3514,2016-05-01,5042,212
3515,2016-05-01,5604,1112
3516,2016-05-01,4605,0
3517,2016-05-01,9829,2229
3518,2016-05-01,3119,0
3519,2016-05-01,7158,926
3520,2016-05-01,2855,2
3521,2016-05-01,7359,1081
3522,2016-05-01,6204,1
3523,2016-05-01,4412,0
3524,2016-05-01,12110,1631
3525,2016-05-01,4149,1
3526,2016-05-01,5071,1
3527,2016-05-01,1908,0
3528,2016-05-01,9162,2104
3529,2016-05-01,4672,7
3530,2016-05-01,532,0
3531,2016-05-01,657,1
3532,2016-05-01,6320,470
3533,2016-05-01,2156,0
3534,2016-05-01,1211,0
3535,2016-05-01,1922,1
3536,2016-05-01,20285,3106
3537,2016-05-01,3752,62
3538,2016-05-01,912,0
3539,2016-05-01,4287,1031
3540,2016-05-01,7646,482
3541,2016-05-01,496,0
3542,2016-05-01,6683,345
3543,2016-05-01,7571,991
3544,2016-05-01,377,0
3545,2016-05-01,14596,115
3546,2016-05-01,3934,87
3547,2016-05-01,8932,158
3548,2016-05-01,3666,0
3549,2016-05-01,313,0
3550,2016-05-01,642,1
3551,2016-05-01,475,1
3552,2016-05-01,8025,1758
3553,2016-05-01,565,10
3554,2016-05-01,7651,676
3555,2016-05-01,4989,5
3556,2016-05-01,9941,1227
3557,2016-05-01,1065,0
3558,2016-05-01,5224,0
3559,2016-05-01,8527,1940
3560,2016-05-01,784,1
3561,2016-05-01,9230,1086
3562,2016-05-01,929,12
3563,2016-05-01,6014,0
3564,2016-05-01,5039,186
3565,2016-05-01,15682,4338
3566,2016-05-01,1491,7
3567,2016-05-01,213,1
3568,2016-05-01,2972,16
3569,2016-05-01,345,0
3570,2016-05-01,281,0
3571,2016-05-01,2237,0
3572,2016-05-01,15009,1401
3573,2016-05-01,2346,50
3574,2016-05-01,3011,0
3575,2016-05-01,9247,593
3576,2016-05-01,3959,46
3577,2016-05-01,10642,1922
3578,2016-05-01,2012,0
3579,2016-05-01,437,0
3580,2016-05-01,2222,1
3581,2016-05-01,4028,0
3582,2016-05-01,5954,0
3583,2016-05-01,5447,263
3584,2016-05-01,702,0
3585,2016-05-01,8838,1036
3586,2016-05-01,4100,0
3587,2016-05-01,8800,627
3588,2016-05-01,7119,0
3589,2016-05-01,8693,2350
3590,2016-05-01,238,0
3591,2016-05-01,5496,762
3592,2016-05-01,11800,1922
3593,2016-05-01,4664,0
3594,2016-05-01,14646,2414
3595,2016-05-01,10199,1843
3596,2016-05-01,12263,3132
3597,2016-05-01,1855,30
3598,2016-05-01,2473,5
3599,2016-05-01,12817,4080
3600,2016-05-01,1848,57
3601,2016-05-01,6318,90
3602,2016-05-01,16008,4424
3603,2016-05-01,394,0
3604,2016-05-01,5118,40
3605,2016-05-01,6251,923
3606,2016-05-01,4267,10
3607,2016-05-01,3914,0
3608,2016-05-01,8006,1702
3609,2016-05-01,4555,67
3610,2016-05-01,5930,775
3611,2016-05-01,3582,44
3612,2016-05-01,11100,2957
3613,2016-05-01,5761,0
3614,2016-05-01,746,0
3615,2016-05-01,4957,846
3616,2016-05-01,3709,0
3617,2016-05-01,7096,1790
3618,2016-05-01,6552,0
3619,2016-05-01,5095,386
3620,2016-05-01,5189,332
3621,2016-05-01,7393,341
3622,2016-05-01,7754,1997
3623,2016-05-01,9878,3
3624,2016-05-01,10051,1874
3625,2016-05-01,12286,1211
3626,2016-05-01,1076,0
3627,2016-05-01,8566,40
3628,2016-05-01,13588,897
3629,2016-05-01,3884,8
3630,2016-05-01,13280,1636
3631,2016-05-01,3474,8
3632,2016-05-01,10333,14
3633,2016-05-01,7643,699
3634,2016-05-01,2345,9
3635,2016-05-01,2700,5
3636,2016-05-01,6232,524
3637,2016-05-01,726,1
3638,2016-05-01,11675,1772
3639,2016-05-01,14340,0
3640,2016-05-01,1255,30
3641,2016-05-01,11950,1015
3642,2016-05-01,2808,0
3643,2016-05-01,4252,764
3644,2016-05-01,398,0
3645,2016-05-01,10033,2195
3646,2016-05-01,6470,203
3647,2016-05-01,351,0
3648,2016-05-01,7745,332
3649,2016-05-01,2522,4
3650,2016-05-01,4304,234
3651,2016-05-01,876,0
3652,2016-05-01,11639,1832
3653,2016-05-01,1363,3
3654,2016-05-01,1821,1
3655,2016-05-01,8147,1452
3656,2016-05-01,3312,6
3657,2016-05-01,2841,0
3658,2016-05-01,18873,2040
3659,2016-05-01,2307,0
3660,2016-05-01,3615,0
3661,2016-05-01,2402,0
3662,2016-05-01,1039,21
3663,2016-05-01,3455,0
3664,2016-05-01,5879,1130
3665,2016-05-01,1937,0
3666,2016-05-01,21016,2804
3667,2016-05-01,8328,1071
3668,2016-05-01,6264,525
3669,2016-05-01,1710,1
3670,2016-05-01,1877,0
3671,2016-05-01,6551,32
3672,2016-05-01,11708,920
3673,2016-05-01,1846,1
3674,2016-05-01,15060,539
3675,2016-05-01,2130,0
3676,2016-05-01,23710,3693
3677,2016-05-01,4535,125
3678,2016-05-01,5196,2
3679,2016-05-01,8027,1905
3680,2016-05-01,1936,5
3681,2016-05-01,10415,0
3682,2016-05-01,9015,882
3683,2016-05-01,5130,102
3684,2016-05-01,9642,1933
3685,2016-05-01,1166,0
3686,2016-05-01,7452,0
3687,2016-05-01,11500,784
3688,2016-05-01,6229,0
3689,2016-05-01,5751,473
3690,2016-05-01,823,3
3691,2016-05-01,6394,1201
3692,2016-05-01,5426,8
3693,2016-05-01,9206,1872
3694,2016-05-01,5568,16
3695,2016-05-01,8559,1578
3696,2016-05-01,7680,602
3697,2016-05-01,10941,872
3698,2016-05-01,1625,40
3699,2016-05-01,4573,1
3700,2016-05-01,6978,691
3701,2016-05-01,8355,2020
3702,2016-05-01,8216,912
3703,2016-05-01,2035,58
3704,2016-05-01,7126,829
3705,2016-05-01,3605,10
3706,2016-05-01,6122,54
3707,2016-05-01,8345,1869
3708,2016-05-01,2909,0
3709,2016-05-01,1818,0
3710,2016-05-01,8249,799
3711,2016-05-01,10133,2031
3712,2016-05-01,6846,28
3713,2016-05-01,8777,1083
3714,2016-05-01,1315,0
3715,2016-05-01,3547,15
3716,2016-05-01,3658,0
3717,2016-05-01,6062,0
3718,2016-05-01,13153,1965
3719,2016-05-01,1143,0
3720,2016-05-01,5511,14
3721,2016-05-01,6592,1169
3722,2016-05-01,1161,0
3723,2016-05-01,3898,62
3724,2016-05-01,2315,0
3725,2016-05-01,2781,5
3726,2016-05-01,1173,0
3727,2016-05-01,9452,17
3728,2016-05-01,8917,1849
3729,2016-05-01,3900,220
3730,2016-05-01,4138,2
3731,2016-05-01,13303,3124
3732,2016-05-01,5334,105
3733,2016-05-01,9573,1431
3734,2016-05-01,20759,1001
3735,2016-05-01,6472,16
3736,2016-05-01,11854,1491
3737,2016-05-01,6488,830
3738,2016-05-01,6557,29
3739,2016-05-01,9736,2263
3740,2016-05-01,725,0
3741,2016-05-01,657,10
3742,2016-05-01,3545,398
3743,2016-05-01,1757,0
3744,2016-05-01,8576,0
3745,2016-05-01,4049,1
3746,2016-05-01,12560,1379
3747,2016-05-01,2084,8
3748,2016-05-01,9974,1825
3749,2016-05-01,7336,1749
3750,2016-05-01,4065,603
3751,2016-05-01,7328,0
3752,2016-05-01,3007,134
3753,2016-05-01,11810,1747
3754,2016-05-01,1632,0
3755,2016-05-01,690,0
3756,2016-05-01,8542,1832
3757,2016-05-01,240,0
3758,2016-05-01,5988,536
3759,2016-05-01,9662,2485
3760,2016-05-01,782,2
3761,2016-05-01,2016,5
3762,2016-05-01,920,7
3763,2016-05-01,9506,732
3764,2016-05-01,1343,10
3765,2016-05-01,6293,1574
3766,2016-05-01,1855,9
3767,2016-05-01,9129,724
3768,2016-05-01,6100,672
3769,2016-05-01,5989,873
3770,2016-05-01,1118,7
3771,2016-05-01,4263,252
3772,2016-05-01,267,11
3773,2016-05-01,2381,0
3774,2016-05-01,7973,28
3775,2016-05-01,4631,7
3776,2016-05-01,2515,33
3777,2016-05-01,4407,0
3778,2016-05-01,8317,376
3779,2016-05-01,9562,142
3780,2016-05-01,5526,426
3781,2016-05-01,200,0
3782,2016-05-01,6756,420
3783,2016-05-01,1579,1
3784,2016-05-01,6534,1228
3785,2016-05-01,3207,1
3786,2016-05-01,8506,734
3787,2016-05-01,1600,4
3788,2016-05-01,9309,930
3789,2016-05-01,1946,9
3790,2016-05-01,12452,539
3791,2016-05-01,1013,1
3792,2016-05-01,4721,503
3793,2016-05-01,2624,46
3794,2016-05-01,2159,0
3795,2016-05-01,3364,42
3796,2016-05-01,1596,5
3797,2016-05-01,4156,305
3798,2016-04-01,18788,4082
3799,2016-04-01,561,5
3800,2016-04-01,2685,17
3801,2016-04-01,27396,5099
3802,2016-04-01,700,5
3803,2016-04-01,10317,143
3804,2016-04-01,3836,1
3805,2016-04-01,17369,0
3806,2016-04-01,15154,1199
3807,2016-04-01,6936,76
3808,2016-04-01,5904,707
3809,2016-04-01,3794,80
3810,2016-04-01,1116,0
3811,2016-04-01,2795,0
3812,2016-04-01,11929,623
3813,2016-04-01,461,3
3814,2016-04-01,11554,1219
3815,2016-04-01,797,0
3816,2016-04-01,2788,1
3817,2016-04-01,3909,0
3818,2016-04-01,9822,583
3819,2016-04-01,4251,0
3820,2016-04-01,9174,2386
3821,2016-04-01,3760,54
3822,2016-04-01,10124,133
3823,2016-04-01,16688,3608
3824,2016-04-01,2189,11
3825,2016-04-01,5203,358
3826,2016-04-01,8328,459
3827,2016-04-01,925,1
3828,2016-04-01,16802,2908
3829,2016-04-01,4940,149
3830,2016-04-01,11715,2652
3831,2016-04-01,16850,150
3832,2016-04-01,8717,320
3833,2016-04-01,4707,62
3834,2016-04-01,13604,3730
3835,2016-04-01,728,0
3836,2016-04-01,912,9
3837,2016-04-01,482,0
3838,2016-04-01,608,0
3839,2016-04-01,17771,2013
3840,2016-04-01,3040,0
3841,2016-04-01,2276,0
3842,2016-04-01,12447,1416
3843,2016-04-01,1290,0
3844,2016-04-01,2446,0
3845,2016-04-01,4958,1745
3846,2016-04-01,8174,25
3847,2016-04-01,2910,0
3848,2016-04-01,1157,0
3849,2016-04-01,3283,0
3850,2016-04-01,7878,1251
3851,2016-04-01,11254,1359
3852,2016-04-01,8878,0
3853,2016-04-01,2398,0
3854,2016-04-01,4877,3
3855,2016-04-01,10967,2450
3856,2016-04-01,5820,357
3857,2016-04-01,470,0
3858,2016-04-01,3093,0
3859,2016-04-01,4639,164
3860,2016-04-01,5517,1134
3861,2016-04-01,4212,0
3862,2016-04-01,8889,1103
3863,2016-04-01,3130,0
3864,2016-04-01,6540,632
3865,2016-04-01,2409,6
3866,2016-04-01,6735,1773
3867,2016-04-01,5756,2
3868,2016-04-01,4067,0
3869,2016-04-01,11008,1772
3870,2016-04-01,3839,1
3871,2016-04-01,4309,0
3872,2016-04-01,1774,0
3873,2016-04-01,8035,2314
3874,2016-04-01,4242,4
3875,2016-04-01,460,0
3876,2016-04-01,589,0
3877,2016-04-01,5691,800
3878,2016-04-01,2139,0
3879,2016-04-01,1237,0
3880,2016-04-01,1635,0
3881,2016-04-01,18088,2564
3882,2016-04-01,3384,31
3883,2016-04-01,819,0
3884,2016-04-01,3700,669
3885,2016-04-01,7051,358
3886,2016-04-01,380,0
3887,2016-04-01,5886,289
3888,2016-04-01,6904,1005
3889,2016-04-01,375,0
3890,2016-04-01,13309,79
3891,2016-04-01,3366,61
3892,2016-04-01,7983,128
3893,2016-04-01,3432,0
3894,2016-04-01,304,0
3895,2016-04-01,549,0
3896,2016-04-01,434,2
3897,2016-04-01,7194,1596
3898,2016-04-01,492,6
3899,2016-04-01,6906,476
3900,2016-04-01,4605,0
3901,2016-04-01,9072,1443
3902,2016-04-01,874,0
3903,2016-04-01,4780,0
3904,2016-04-01,7832,2032
3905,2016-04-01,677,1
3906,2016-04-01,8299,1063
3907,2016-04-01,931,3
3908,2016-04-01,5473,0
3909,2016-04-01,4672,194
3910,2016-04-01,13901,3392
3911,2016-04-01,1464,2
3912,2016-04-01,172,0
3913,2016-04-01,2544,7
3914,2016-04-01,333,0
3915,2016-04-01,266,0
3916,2016-04-01,1984,0
3917,2016-04-01,13407,1569
3918,2016-04-01,2344,39
3919,2016-04-01,2948,0
3920,2016-04-01,8139,859
3921,2016-04-01,3753,94
3922,2016-04-01,9737,1852
3923,2016-04-01,1865,0
3924,2016-04-01,420,0
3925,2016-04-01,1996,0
3926,2016-04-01,3769,0
3927,2016-04-01,5590,0
3928,2016-04-01,5065,250
3929,2016-04-01,613,0
3930,2016-04-01,8234,1031
3931,2016-04-01,452,2
3932,2016-04-01,4124,0
3933,2016-04-01,7824,529
3934,2016-04-01,6470,0
3935,2016-04-01,7781,1984
3936,2016-04-01,246,0
3937,2016-04-01,4854,617
3938,2016-04-01,10811,1613
3939,2016-04-01,4414,0
3940,2016-04-01,13130,2555
3941,2016-04-01,9044,1195
3942,2016-04-01,11187,2972
3943,2016-04-01,1804,22
3944,2016-04-01,2139,4
3945,2016-04-01,11449,3406
3946,2016-04-01,1895,122
3947,2016-04-01,5580,21
3948,2016-04-01,14718,4227
3949,2016-04-01,443,0
3950,2016-04-01,4806,15
3951,2016-04-01,6077,913
3952,2016-04-01,3833,7
3953,2016-04-01,3750,0
3954,2016-04-01,7209,2244
3955,2016-04-01,3905,70
3956,2016-04-01,5322,499
3957,2016-04-01,3032,48
3958,2016-04-01,9754,2339
3959,2016-04-01,5204,0
3960,2016-04-01,717,0
3961,2016-04-01,4299,716
3962,2016-04-01,3184,0
3963,2016-04-01,6585,1332
3964,2016-04-01,6082,0
3965,2016-04-01,4564,297
3966,2016-04-01,4562,194
3967,2016-04-01,6761,473
3968,2016-04-01,7076,1605
3969,2016-04-01,9182,9
3970,2016-04-01,9224,1822
3971,2016-04-01,11005,901
3972,2016-04-01,845,0
3973,2016-04-01,7639,32
3974,2016-04-01,12120,743
3975,2016-04-01,3852,0
3976,2016-04-01,11977,1655
3977,2016-04-01,3353,11
3978,2016-04-01,9619,26
3979,2016-04-01,6933,769
3980,2016-04-01,2278,8
3981,2016-04-01,2489,7
3982,2016-04-01,5671,688
3983,2016-04-01,782,8
3984,2016-04-01,10546,1943
3985,2016-04-01,12646,0
3986,2016-04-01,1129,10
3987,2016-04-01,10784,669
3988,2016-04-01,2766,0
3989,2016-04-01,3887,659
3990,2016-04-01,460,0
3991,2016-04-01,9069,1573
3992,2016-04-01,5344,84
3993,2016-04-01,307,0
3994,2016-04-01,6736,138
3995,2016-04-01,2230,0
3996,2016-04-01,3830,246
3997,2016-04-01,693,0
3998,2016-04-01,10307,1223
3999,2016-04-01,1243,4
4000,2016-04-01,1547,1
4001,2016-04-01,8962,1235
4002,2016-04-01,1073,1
4003,2016-04-01,2483,0
4004,2016-04-01,16500,1792
4005,2016-04-01,1884,0
4006,2016-04-01,3719,0
4007,2016-04-01,2043,0
4008,2016-04-01,963,4
4009,2016-04-01,3235,0
4010,2016-04-01,5114,708
4011,2016-04-01,1823,0
4012,2016-04-01,19118,2219
4013,2016-04-01,7296,834
4014,2016-04-01,5650,450
4015,2016-04-01,1419,1
4016,2016-04-01,1677,0
4017,2016-04-01,6106,10
4018,2016-04-01,10526,1214
4019,2016-04-01,1517,4
4020,2016-04-01,13608,728
4021,2016-04-01,1915,4
4022,2016-04-01,21068,3501
4023,2016-04-01,4184,88
4024,2016-04-01,5132,3
4025,2016-04-01,7383,2103
4026,2016-04-01,1846,1
4027,2016-04-01,9627,0
4028,2016-04-01,7997,587
4029,2016-04-01,4849,183
4030,2016-04-01,5226,0
4031,2016-04-01,10077,705
4032,2016-04-01,5673,0
4033,2016-04-01,4927,436
4034,2016-04-01,730,5
4035,2016-04-01,5746,1240
4036,2016-04-01,5259,15
4037,2016-04-01,8212,1523
4038,2016-04-01,5143,25
4039,2016-04-01,7662,1585
4040,2016-04-01,6892,520
4041,2016-04-01,9712,843
4042,2016-04-01,1701,36
4043,2016-04-01,4161,0
4044,2016-04-01,6262,442
4045,2016-04-01,7696,1666
4046,2016-04-01,7217,1109
4047,2016-04-01,1572,72
4048,2016-04-01,6517,915
4049,2016-04-01,3232,16
4050,2016-04-01,5445,20
4051,2016-04-01,7132,1423
4052,2016-04-01,2550,1
4053,2016-04-01,1765,0
4054,2016-04-01,7368,518
4055,2016-04-01,9101,1986
4056,2016-04-01,6028,22
4057,2016-04-01,7898,1573
4058,2016-04-01,1255,0
4059,2016-04-01,3521,3
4060,2016-04-01,3339,0
4061,2016-04-01,5494,0
4062,2016-04-01,10669,1857
